TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-10,2026-09-10,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7434.35,7434.35,7290.10,7330.00,7330.00,7393.30,,7329.00,,,1945,14292177.00,372,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1354.65,1384.00,1300.30,1306.60,1306.60,1341.45,,1307.58,,,46253,62075089.00,2866,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,830.05,837.45,817.00,819.20,817.80,832.55,,819.20,,,58833,48655842.00,3595,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500009,INE432A01017,AMBALALSA,T,,,,,AMBALAL SARABHAI ENTERPRISES L,42.15,42.15,41.02,41.45,41.16,42.15,,41.51,,,10674,441631.00,39,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,47.01,47.90,45.36,45.51,45.51,47.01,,45.51,,,51987,2393674.00,438,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.49,3.49,3.44,3.49,3.49,3.46,,3.39,,,8194,28350.00,14,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.97,3.97,3.80,3.83,3.83,3.87,,3.83,,,5112,19806.00,50,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.42,7.99,7.14,7.48,7.50,7.42,,7.48,,,27540,203117.00,47,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,113.90,114.05,111.75,112.75,112.75,112.90,,112.52,,,30173,3399061.00,408,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,389.85,402.10,380.90,385.40,387.45,408.20,,382.41,,,844,324632.00,70,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6225.90,6379.90,6225.90,6345.45,6346.00,6217.65,,6355.88,,,466,2940594.00,128,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,25.90,25.98,24.99,25.00,25.00,25.29,,25.00,,,14493,366436.00,95,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,341.80,345.45,335.65,338.35,339.50,339.40,,337.76,,,18495,6268580.00,442,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,B,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,21.38,21.88,21.24,21.42,21.42,21.37,,21.40,,,1064008,22901950.00,2165,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,17410.00,18331.00,17375.00,18160.00,18160.00,17378.65,,18174.61,,,20335,366820578.00,5250,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1038.15,1048.80,1036.10,1046.00,1046.00,1040.00,,1043.91,,,230365,240435844.00,6959,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD,704.00,714.25,694.95,707.05,707.05,699.20,,705.20,,,78954,55716239.00,1993,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,641.00,641.00,624.60,630.90,629.05,635.05,,628.40,,,23247,14670264.00,502,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1337.05,1345.30,1322.45,1336.50,1336.50,1341.65,,1337.34,,,3055,4072238.00,321,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3620.00,3620.00,3564.90,3570.20,3570.20,3682.15,,3590.13,,,20,71735.00,9,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3730.00,3775.75,3680.95,3692.20,3680.95,3745.25,,3688.48,,,692,2572100.00,216,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,660.10,663.45,652.10,653.70,653.50,660.95,,653.29,,,7812,5137669.00,456,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,2101.65,2108.55,2025.00,2029.95,2029.95,2097.05,,2029.05,,,32515,66695860.00,1567,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,406.20,407.00,402.00,403.00,403.00,406.20,,404.90,,,854493,345660892.00,12634,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,7.61,7.64,7.23,7.23,7.23,7.61,,7.23,,,13143,95583.00,101,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,133.75,135.90,129.60,130.50,131.00,133.60,,130.30,,,137661,18224781.00,1656,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,12.08,12.20,11.60,12.01,12.09,11.87,,12.01,,,13074,155409.00,75,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,4.12,4.12,3.88,3.95,3.95,4.00,,4.00,,,3133,12718.00,11,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,369.85,373.30,360.15,373.30,373.30,355.55,,374.65,,,80616,29885663.00,1127,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1454.20,1519.20,1454.20,1513.60,1513.60,1455.80,,1513.99,,,29274,43803939.00,1625,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,256.90,256.90,250.50,250.50,250.50,250.00,,250.50,,,178,44879.00,13,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,48.35,49.00,47.00,47.24,47.45,48.05,,47.32,,,6603,313763.00,108,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,540.85,559.00,521.40,524.95,524.95,540.85,,524.79,,,7202,3890289.00,660,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,21.98,22.89,21.98,22.83,22.83,21.92,,22.80,,,46198,1043591.00,411,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,149.15,152.45,146.45,147.05,147.05,149.70,,147.53,,,99761,14872464.00,2046,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,414.00,423.00,414.00,417.60,417.60,415.70,,417.74,,,41188,17274921.00,1634,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,410.05,423.95,410.00,420.80,420.80,410.90,,420.85,,,232069,97485396.00,5231,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1364.50,1380.00,1363.95,1380.00,1380.00,1368.00,,1373.34,,,15545,21324149.00,1195,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,618.90,618.90,600.30,600.35,600.35,618.90,,601.08,,,213,128880.00,54,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4699.95,4778.05,4682.15,4720.35,4718.70,4682.85,,4721.66,,,834,3941795.00,225,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,927.05,930.60,906.00,908.00,908.00,927.00,,914.51,,,134771,123465695.00,5045,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,369.55,377.65,368.45,377.50,377.50,372.00,,376.46,,,81355,30414192.00,2525,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,404.35,442.75,404.35,433.45,431.10,432.85,,431.57,,,8103,3530392.00,294,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,585.90,585.90,484.00,569.60,570.00,571.85,,569.80,,,15023,8622259.00,796,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,433.75,435.60,427.35,432.00,432.00,433.30,,429.55,,,344714,148700094.00,4213,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,346.95,354.00,346.90,354.00,354.00,349.00,,352.72,,,161738,56833098.00,2708,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,89.21,90.38,84.61,85.14,85.14,89.04,,85.15,,,7057166,614968079.00,32155,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500108,INE153A01019,MTNL,B,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,25.05,25.45,24.97,25.14,25.16,25.21,,25.10,,,71886,1811858.00,257,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,185.20,191.95,148.10,181.35,181.10,184.25,,181.32,,,1199285,221705498.00,11687,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,1602.95,1660.60,1571.10,1625.90,1625.90,1602.95,,1626.38,,,209784,338770019.00,8449,F1,1,,,,,
2026-09-10,2026-09-10,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,1001.75,1011.90,1001.50,1004.50,1004.50,1001.60,,1009.41,,,303789,305757015.00,13031,F1,1,,,,,
